"id","temperature","humidity","light","co2","ec","ph","update_time"
546779,"22.35","91.74",4398.3,"1045","0.00","6.51","06:42"
546783,"22.37","91.61",4500.900000000001,"1043","0.00","6.51","06:43"
546787,"22.39","91.50",4309.200000000001,"1039","0.00","6.51","06:44"
546791,"22.42","91.54",4160.700000000001,"1041","0.00","6.51","06:45"
546795,"22.46","91.60",4020.3,"1039","0.00","6.51","06:46"
546799,"22.47","91.39",3996.0000000000005,"1039","0.00","6.51","06:47"
546803,"22.48","91.31",3969.0000000000005,"992","0.00","6.51","06:48"
546807,"22.50","91.20",3936.6000000000004,"1028","0.00","6.51","06:49"
546811,"22.52","91.32",3834.0000000000005,"1029","0.00","6.51","06:50"
546815,"22.54","91.27",3726.0000000000005,"1008","0.00","6.51","06:51"
546819,"22.52","91.10",3809.7000000000003,"1015","0.00","6.51","06:52"
546823,"22.52","90.96",4644,"998","0.00","6.51","06:53"
546827,"22.56","90.81",4687.200000000001,"998","0.00","6.51","06:54"
546831,"22.57","90.81",3890.7000000000003,"1011","0.00","6.51","06:55"
546835,"22.58","90.84",3310.2000000000003,"1016","0.00","6.51","06:56"
546839,"22.58","90.82",3353.4,"1025","0.00","6.51","06:57"
546843,"22.58","90.90",3753.0000000000005,"1026","0.00","6.51","06:58"
546847,"22.58","90.79",4222.8,"1028","0.00","6.51","06:59"
546851,"22.58","90.62",4293,"1029","0.00","6.51","07:00"
546855,"22.58","90.73",3253.5,"1030","0.00","6.51","07:01"
546859,"22.60","90.57",3213,"1033","0.00","6.51","07:02"
546863,"22.61","90.33",2967.3,"1030","0.00","6.51","07:03"
546867,"22.58","90.38",2964.6000000000004,"1030","0.00","6.48","07:04"
546871,"22.59","90.33",2643.3,"1030","0.00","6.48","07:05"
546875,"22.59","90.14",2578.5,"932","0.00","6.51","07:06"
546879,"22.61","90.09",2656.8,"905","0.00","6.51","07:07"
546883,"22.61","90.11",2864.7000000000003,"939","0.00","6.51","07:08"
546887,"22.62","90.09",3264.3,"908","0.00","6.51","07:09"
546891,"22.63","90.15",3755.7000000000003,"935","0.00","6.51","07:10"
546895,"22.67","90.05",4139.1,"955","0.00","6.54","07:11"
546899,"22.66","89.99",4506.3,"1051","0.00","6.51","07:12"
546903,"22.70","90.11",4922.1,"1002","0.00","6.51","07:13"
546907,"22.72","90.06",5046.3,"1031","0.00","6.51","07:14"
